Amazon 出品サービス、フルフィルメント by Amazon (FBA),,,,,,,,,,,,,,,,,,,,,,,,,,,
指定のない場合、単位は円,,,,,,,,,,,,,,,,,,,,,,,,,,,
定義：,,,,,,,,,,,,,,,,,,,,,,,,,,,
売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税,,,,,,,,,,,,,,,,,,,,,,,,,,,
販売手数料：カテゴリー成約料と販売手数料が含まれます。,,,,,,,,,,,,,,,,,,,,,,,,,,,
トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。,,,,,,,,,,,,,,,,,,,,,,,,,,,
日付/時間,決済番号,トランザクションの種類,注文番号,SKU,説明,数量,Amazon 出品サービス,フルフィルメント,市町村,都道府県,郵便番号,税金徴収型,商品売上,商品の売上税,配送料,配送料の税金,ギフト包装手数料,ギフト包装クレジットの税金,Amazonポイントの費用,プロモーション割引額,プロモーション割引の税金,源泉徴収税を伴うマーケットプレイス,手数料,FBA 手数料,トランザクションに関するその他の手数料,その他,合計
2025/01/06 7:02:27 JST,11911147113,注文,503-8952059-3132631,SCB004-BK,【改訂版】サコッシュ 小さめ 撥水 防水 超軽量 メンズ レディース 登山 トラベル ハイキング 旅行 黒 PEAKHUNT(ピ,1,amazon.jp,Amazon,,東京都,187-000,,"2,545",255,0,0,0,0,-28,0,0,0,-366,-318,0,0,"2,088"
2025/01/06 7:20:33 JST,11911147113,注文,249-6964202-5616621,SCB008-B,サコッシュ（マチ付） 撥水 防水 超軽量 メンズ レディース 登山 トラベル ハイキング 旅行 黒 PEAKHUNT(ピークハ�,1,amazon.jp,Amazon,,茨城県,319-030,,"2,691",269,139,14,0,0,-30,-139,-14,0,-387,-485,0,0,"2,058"
2025/01/06 21:44:02 JST,11911147113,注文外料金,,,広告費用,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,"-50,629","-5,063","-55,692"
2025/01/06 23:43:11 JST,11911147113,注文,250-5298964-1198255,SCB008-B,サコッシュ（マチ付） 撥水 防水 超軽量 メンズ レディース 登山 トラベル ハイキング 旅行 黒 PEAKHUNT(ピークハ�,1,amazon.jp,Amazon,,東京都,181-000,,"2,691",269,0,0,0,0,-30,0,0,0,-387,-485,0,0,"2,058"
2025/01/07 1:49:08 JST,11911147113,FBA 在庫関連の手数料,,,FBA在庫保管手数料:,,Amazon.co.jp,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,"-26,513","-26,513"
2025/01/07 2:24:16 JST,11911147113,注文,503-7964855-1860627,SCB004-BK,【改訂版】サコッシュ 小さめ 撥水 防水 超軽量 メンズ レディース 登山 トラベル ハイキング 旅行 黒 PEAKHUNT(ピ,1,amazon.jp,Amazon,,大阪府,558-004,,"2,545",255,0,0,0,0,-28,0,0,0,-366,-318,0,0,"2,088"
2025/01/07 5:26:19 JST,11911147113,注文,249-5536351-4757438,DAX002-B,リュック バックパック（X-PAC） 30L 軽量 メンズ レディース ハイキング トレッキング ブラック 黒 旅行 トラベ�,1,amazon.jp,Amazon,,東京都,191-006,,"11,491","1,149",0,0,0,0,-126,0,0,0,"-1,321",-815,0,0,"10,378"
2025/01/07 6:44:08 JST,11911147113,注文,250-0724406-8928633,EP-B1UP-2O05,リュック バックパック（X-PAC） 30L 軽量 メンズ レディース ハイキング トレッキング ブラック 黒 旅行 トラベ�,1,amazon.jp,Amazon,,愛知県,460-001,,"11,491","1,149",0,0,0,0,-126,0,0,0,"-1,321",-975,0,0,"10,218"
2025/01/07 18:19:17 JST,11917579773,注文,249-9123545-0727813,SCB006-BK,スマホショルダー ペットボトル収納 2WAY サコッシュ 撥水 防水 超軽量 登山 トラベル ハイキング 旅行 黒 PEAKHUNT,1,amazon.jp,Amazon,,愛知県,483-842,,"2,400",240,0,0,0,0,-26,0,0,0,-691,-318,0,0,"1,605"
2025/01/07 18:19:17 JST,11917579773,注文,249-9123545-0727813,SCB006-BK,スマホショルダー ペットボトル収納 2WAY サコッシュ 撥水 防水 超軽量 登山 トラベル ハイキング 旅行 黒 PEAKHUNT,1,amazon.jp,Amazon,,愛知県,483-842,,"2,400",240,0,0,0,0,-26,0,0,0,0,-318,0,0,"2,296"
